		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	LABELS	d24_rate	d24_rate	d24_rate	d24_rate	d24_rate	d24_rate	d24_rate	d24_rate	d24_rate	d24_rate
											
pm25_ave1	pm25_ave1	0.0097**									
		(0.0045)									
pm25_ave2	pm25_ave2		0.0118*								
			(0.0065)								
pm25_ave3	pm25_ave3			0.0153							
				(0.0094)							
pm25_ave4	pm25_ave4				0.0205						
					(0.0136)						
pm25_ave5	pm25_ave5					0.0227					
						(0.0173)					
pm25_ave6	pm25_ave6						0.0295				
							(0.0238)				
pm25_ave7	pm25_ave7							0.0362			
								(0.0323)			
pm25_ave8	pm25_ave8								0.0424		
									(0.0414)		
pm25_ave9	pm25_ave9									0.0460	
										(0.0503)	
pm25_ave10	pm25_ave10										0.0591
											(0.0719)
											
Observations		138,537	137,887	137,245	136,612	135,976	135,356	134,728	134,106	133,480	132,857
County FE		X	X	X	X	X	X	X	X	X	X
Week-of-sample FE		X	X	X	X	X	X	X	X	X	X
First stage F-stat		22.02	12.70	7.005	4.441	3.180	2.335	1.717	1.343	1.048	0.786
p-value		1.42e-05	0.000720	0.0104	0.0393	0.0794	0.131	0.195	0.251	0.309	0.378
AR Chi2 p-value		0.0157	0.0375	0.0497	0.0418	0.0683	0.0494	0.0440	0.0440	0.0624	0.0451
SW S-stat		0.0157	0.0339	0.0454	0.0381	0.0669	0.0513	0.0491	0.0494	0.0681	0.0495
