	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	d24_rate	d24_rate	d24_rate	d24_rate	d24_rate	d24_rate	d24_rate
							
aqi	0.0062***						
	(0.0022)						
	0.0055						
pm25		0.0079***					
		(0.0029)					
		0.0064					
o3			0.0174**				
			(0.0071)				
			0.0157				
pm10				0.0047***			
				(0.0017)			
				0.0048			
so2					0.0261**		
					(0.0123)		
					0.0346		
no2						0.0170***	
						(0.0059)	
						0.0044	
co							0.1922
							(0.1403)
							0.1720
							
Observations	139,196	139,196	139,196	139,196	139,196	139,196	139,196
County FE	X	X	X	X	X	X	X
Week-of-sample FE	X	X	X	X	X	X	X
KP F-stat	54.29	41.84	16.57	70.87	9.029	89.15	2.465
p-value	4.58e-10	1.61e-08	0.000171	0	0.00304	0	0.118
AR Chi2 p-value	0.00249	0.00249	0.00249	0.00249	0.00249	0.00249	0.00249
SW S-stat	0.00244	0.00244	0.00244	0.00244	0.00244	0.00244	0.00244
Robust standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
